iteration dataset variable_type variable_source variable_name spatial_frequency_bin spatial_region MSAV PSD MAV R
0 train anatomy model a_pred all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
0 train "wave field" reference u_true 7.0 all  2.2741668070694143e-07  
0 train "wave field" reference u_true 8.0 all  1.7024252778784642e-07  
0 train "wave field" reference u_true 9.0 all  9.158695211661493e-08  
0 train "wave field" reference u_true 10.0 all  7.510692448230837e-08  
0 train "wave field" reference u_true all 1   0.00032224968900347985 
0 train "wave field" reference u_true all 2   0.0001823475253163132 
0 train "wave field" reference u_true all 3   0.0004966109203225826 
0 train "wave field" reference u_true all 4   0.00044916638242921127 
0 train "wave field" reference u_true all 5   0.0002947008513400737 
0 train Laplacian model lu_pred all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(23027.12287371)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'lu_pred'"   "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(0.5814123)
Coordinates:
    frequency  int32 4B 90"
0 train Laplacian model lu_pred 1.0 all    
0 train Laplacian model lu_pred 2.0 all  1449374.026389353  
0 train Laplacian model lu_pred 3.0 all  15660.62686863655  
0 train Laplacian model lu_pred 4.0 all  510716.2588871771  
0 train Laplacian model lu_pred 5.0 all  4600.170270858513  
0 train Laplacian model lu_pred 6.0 all  122547.85331591022  
0 train Laplacian model lu_pred 7.0 all  1576.5313525485585  
0 train Laplacian model lu_pred 8.0 all  18027.50377608096  
0 train Laplacian model lu_pred 9.0 all  671.6648558811437  
0 train Laplacian model lu_pred 10.0 all  306.60886440121294  
0 train Laplacian model lu_pred all 1   17.82285027663641 
0 train Laplacian model lu_pred all 2   18.91537622881073 
0 train Laplacian model lu_pred all 3   16.029365060930598 
0 train Laplacian model lu_pred all 4   20.41110325642145 
0 train Laplacian model lu_pred all 5   25.82504577163829 
0 train Laplacian residual lu_diff all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(99670.02830208)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'lu_diff'"   
0 train Laplacian residual lu_diff 1.0 all    
0 train Laplacian residual lu_diff 2.0 all  18123881.10797243  
0 train Laplacian residual lu_diff 3.0 all  380711.35339599295  
0 train Laplacian residual lu_diff 4.0 all  554190.6017698614  
0 train Laplacian residual lu_diff 5.0 all  17092.445549266275  
0 train Laplacian residual lu_diff 6.0 all  127099.27000268616  
0 train Laplacian residual lu_diff 7.0 all  4129.380200450652  
0 train Laplacian residual lu_diff 8.0 all  19953.538830827147  
0 train Laplacian residual lu_diff 9.0 all  1958.398730830518  
0 train Laplacian residual lu_diff 10.0 all  1382.0151586516627  
0 train Laplacian residual lu_diff all 1   22.00415751821773 
0 train Laplacian residual lu_diff all 2   19.28259877182483 
0 train Laplacian residual lu_diff all 3   17.727676544869947 
0 train Laplacian residual lu_diff all 4   21.5438897973985 
0 train Laplacian residual lu_diff all 5   22.787688991578978 
0 train Laplacian reference Lu_true all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(77227.78728441)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'Lu_true'"   
0 train Laplacian reference Lu_true 1.0 all    
0 train Laplacian reference Lu_true 2.0 all  16764296.601907128  
0 train Laplacian reference Lu_true 3.0 all  384698.71037239535  
0 train Laplacian reference Lu_true 4.0 all  44354.63006636809  
0 train Laplacian reference Lu_true 5.0 all  12922.812095501875  
0 train Laplacian reference Lu_true 6.0 all  4627.898005228037  
0 train Laplacian reference Lu_true 7.0 all  2607.952916773148  
0 train Laplacian reference Lu_true 8.0 all  1919.1599351332718  
0 train Laplacian reference Lu_true 9.0 all  1346.1640571232067  
0 train Laplacian reference Lu_true 10.0 all  1132.5993493290525  
0 train Laplacian reference Lu_true all 1   12.51688793914196 
0 train Laplacian reference Lu_true all 2   3.745669203795787 
0 train Laplacian reference Lu_true all 3   6.687161882960564 
0 train Laplacian reference Lu_true all 4   11.790114119299055 
0 train Laplacian reference Lu_true all 5   12.181949943004938 
0 train PDE model pde_grad all all "<xarray.DataArray 'PDE' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U8 32B 'pde_grad'"   "<xarray.DataArray 'PDE' ()> Size: 8B
array(nan)
Coordinates:
    frequency  int32 4B 90"
0 train PDE model pde_grad 1.0 all    
0 train PDE model pde_grad 2.0 all  0.0  
0 train PDE model pde_grad 3.0 all  0.0  
0 train PDE model pde_grad 4.0 all  0.0  
0 train PDE model pde_grad 5.0 all  0.0  
0 train PDE model pde_grad 6.0 all  0.0  
0 train PDE model pde_grad 7.0 all  0.0  
0 train PDE model pde_grad 8.0 all  0.0  
0 train PDE model pde_grad 9.0 all  0.0  
0 train PDE model pde_grad 10.0 all  0.0  
0 train PDE model pde_grad all 1   0.0 
0 train PDE model pde_grad all 2   0.0 
0 train PDE model pde_grad all 3   0.0 
0 train PDE model pde_grad all 4   0.0 
0 train PDE model pde_grad all 5   0.0 
0 train PDE residual pde_diff all all "<xarray.DataArray 'PDE' ()> Size: 8B
array(1.05416253e+08)
Coordinates:
    frequency  int32 4B 90
    variable   <U8 32B 'pde_diff'"   
0 train PDE residual pde_diff 1.0 all    
0 train PDE residual pde_diff 2.0 all  9466088073.031233  
0 train PDE residual pde_diff 3.0 all  211528600.75700954  
0 train PDE residual pde_diff 4.0 all  1128970613.8617857  
0 train PDE residual pde_diff 5.0 all  29253861.694221266  
0 train PDE residual pde_diff 6.0 all  472255105.05223453  
0 train PDE residual pde_diff 7.0 all  11802626.094244845  
0 train PDE residual pde_diff 8.0 all  131081669.1509541  
0 train PDE residual pde_diff 9.0 all  10408603.378371345  
0 train PDE residual pde_diff 10.0 all  2411686.796221696  
0 train PDE residual pde_diff all 1   7333.420361001917 
0 train PDE residual pde_diff all 2   7584.769855145554 
0 train PDE residual pde_diff all 3   7486.343429316707 
0 train PDE residual pde_diff all 4   10024.899752177153 
0 train PDE residual pde_diff all 5   8910.670561124967 
0 train PDE reference mu_diff all all "<xarray.DataArray 'PDE' ()> Size: 8B
array(1.05416253e+08)
Coordinates:
    frequency  int32 4B 90
    variable   <U8 32B 'mu_diff'"   
0 train PDE reference mu_diff 1.0 all    
0 train PDE reference mu_diff 2.0 all  9466088073.031233  
0 train PDE reference mu_diff 3.0 all  211528600.75700954  
0 train PDE reference mu_diff 4.0 all  1128970613.8617857  
0 train PDE reference mu_diff 5.0 all  29253861.694221266  
0 train PDE reference mu_diff 6.0 all  472255105.05223453  
0 train PDE reference mu_diff 7.0 all  11802626.094244845  
0 train PDE reference mu_diff 8.0 all  131081669.1509541  
0 train PDE reference mu_diff 9.0 all  10408603.378371345  
0 train PDE reference mu_diff 10.0 all  2411686.796221696  
0 train PDE reference mu_diff all 1   7333.420361001917 
0 train PDE reference mu_diff all 2   7584.769855145554 
0 train PDE reference mu_diff all 3   7486.343429316707 
0 train PDE reference mu_diff all 4   10024.899752177153 
0 train PDE reference mu_diff all 5   8910.670561124967 
0 train elastogram model mu_pred all all "<xarray.DataArray 'elastogram' ()> Size: 8B
array(1.14613811e+08)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'mu_pred'"   "<xarray.DataArray 'elastogram' ()> Size: 8B
array(-0.05005621)
Coordinates:
    frequency  int32 4B 90"
0 train elastogram model mu_pred 1.0 all    
0 train elastogram model mu_pred 2.0 all  11730089251.688963  
0 train elastogram model mu_pred 3.0 all  180780685.74401888  
0 train elastogram model mu_pred 4.0 all  1122856128.1743286  
0 train elastogram model mu_pred 5.0 all  28070118.349365786  
0 train elastogram model mu_pred 6.0 all  471274564.4110401  
0 train elastogram model mu_pred 7.0 all  11435644.538681915  
0 train elastogram model mu_pred 8.0 all  130745830.83541484  
0 train elastogram model mu_pred 9.0 all  10226273.802422442  
0 train elastogram model mu_pred 10.0 all  2220691.9502380616  
0 train elastogram model mu_pred all 1   7811.170859067153 
0 train elastogram model mu_pred all 2   7994.0047976951 
0 train elastogram model mu_pred all 3   5785.526408242186 
0 train elastogram model mu_pred all 4   3610.511055963418 
0 train elastogram model mu_pred all 5   7235.727164154727 
0 train elastogram residual mu_diff all all "<xarray.DataArray 'elastogram' ()> Size: 8B
array(1.05416253e+08)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'mu_diff'"   
0 train elastogram residual mu_diff 1.0 all    
0 train elastogram residual mu_diff 2.0 all  9466088073.031233  
0 train elastogram residual mu_diff 3.0 all  211528600.75700954  
0 train elastogram residual mu_diff 4.0 all  1128970613.8617857  
0 train elastogram residual mu_diff 5.0 all  29253861.694221266  
0 train elastogram residual mu_diff 6.0 all  472255105.05223453  
0 train elastogram residual mu_diff 7.0 all  11802626.094244845  
0 train elastogram residual mu_diff 8.0 all  131081669.1509541  
0 train elastogram residual mu_diff 9.0 all  10408603.378371345  
0 train elastogram residual mu_diff 10.0 all  2411686.796221696  
0 train elastogram residual mu_diff all 1   7333.420361001917 
0 train elastogram residual mu_diff all 2   7584.769855145554 
0 train elastogram residual mu_diff all 3   7486.343429316707 
0 train elastogram residual mu_diff all 4   10024.899752177153 
0 train elastogram residual mu_diff all 5   8910.670561124967 
0 train elastogram reference mu_true all all "<xarray.DataArray 'elastogram' ()> Size: 8B
array(14290650.18259529)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'mu_true'"   
0 train elastogram reference mu_true 1.0 all    
0 train elastogram reference mu_true 2.0 all  3205625360.7457643  
0 train elastogram reference mu_true 3.0 all  27052149.866971437  
0 train elastogram reference mu_true 4.0 all  5887737.94901611  
0 train elastogram reference mu_true 5.0 all  1317326.3449889477  
0 train elastogram reference mu_true 6.0 all  930774.2190823411  
0 train elastogram reference mu_true 7.0 all  373110.26991664956  
0 train elastogram reference mu_true 8.0 all  318738.2962869032  
0 train elastogram reference mu_true 9.0 all  188345.85649560567  
0 train elastogram reference mu_true 10.0 all  191645.00459403038  
0 train elastogram reference mu_true all 1   3052.8306835779963 
0 train elastogram reference mu_true all 2   10015.975997504951 
0 train elastogram reference mu_true all 3   10015.975997504951 
0 train elastogram reference mu_true all 4   10015.975997504951 
0 train elastogram reference mu_true all 5   10015.975997504951 
0 train direct model direct_pred all all "<xarray.DataArray 'direct' ()> Size: 8B
array(22452690.4484988)
Coordinates:
    frequency  int32 4B 90
    variable   <U11 44B 'direct_pred'"   "<xarray.DataArray 'direct' ()> Size: 8B
array(0.42874677)
Coordinates:
    frequency  int32 4B 90"
0 train direct model direct_pred 1.0 all    
0 train direct model direct_pred 2.0 all  4387397372.880142  
0 train direct model direct_pred 3.0 all  116833785.13921782  
0 train direct model direct_pred 4.0 all  34434609.07269123  
0 train direct model direct_pred 5.0 all  16806753.734280754  
0 train direct model direct_pred 6.0 all  9555542.252829911  
0 train direct model direct_pred 7.0 all  4810548.097777674  
0 train direct model direct_pred 8.0 all  3562649.8066109684  
0 train direct model direct_pred 9.0 all  2109646.8825986898  
0 train direct model direct_pred 10.0 all  1811572.079111452  
0 train direct model direct_pred all 1   3496.308162107902 
0 train direct model direct_pred all 2   9757.922760226036 
0 train direct model direct_pred all 3   8385.944868196711 
0 train direct model direct_pred all 4   3803.0802775146667 
0 train direct model direct_pred all 5   3415.1419997440953 
0 train direct residual direct_diff all all "<xarray.DataArray 'direct' ()> Size: 8B
array(7474921.20340743)
Coordinates:
    frequency  int32 4B 90
    variable   <U11 44B 'direct_diff'"   
0 train direct residual direct_diff 1.0 all    
0 train direct residual direct_diff 2.0 all  825458252.8449337  
0 train direct residual direct_diff 3.0 all  118197169.6960203  
0 train direct residual direct_diff 4.0 all  39606002.2841481  
0 train direct residual direct_diff 5.0 all  18251720.426647622  
0 train direct residual direct_diff 6.0 all  11220001.25895756  
0 train direct residual direct_diff 7.0 all  5275058.312648423  
0 train direct residual direct_diff 8.0 all  4033557.5300058182  
0 train direct residual direct_diff 9.0 all  2298159.0371957435  
0 train direct residual direct_diff 10.0 all  1977224.1394095193  
0 train direct residual direct_diff all 1   674.2022035219995 
0 train direct residual direct_diff all 2   647.4812248444339 
0 train direct residual direct_diff all 3   7219.677885356874 
0 train direct residual direct_diff all 4   6785.923881524675 
0 train direct residual direct_diff all 5   6664.989361940163 
0 train direct reference mu_true all all "<xarray.DataArray 'direct' ()> Size: 8B
array(14290650.18259529)
Coordinates:
    frequency  int32 4B 90
    variable   <U11 44B 'mu_true'"   
0 train direct reference mu_true 1.0 all    
0 train direct reference mu_true 2.0 all  3205625360.7457643  
0 train direct reference mu_true 3.0 all  27052149.866971437  
0 train direct reference mu_true 4.0 all  5887737.94901611  
0 train direct reference mu_true 5.0 all  1317326.3449889477  
0 train direct reference mu_true 6.0 all  930774.2190823411  
0 train direct reference mu_true 7.0 all  373110.26991664956  
0 train direct reference mu_true 8.0 all  318738.2962869032  
0 train direct reference mu_true 9.0 all  188345.85649560567  
0 train direct reference mu_true 10.0 all  191645.00459403038  
0 train direct reference mu_true all 1   3052.8306835779963 
0 train direct reference mu_true all 2   10015.975997504951 
0 train direct reference mu_true all 3   10015.975997504951 
0 train direct reference mu_true all 4   10015.975997504951 
0 train direct reference mu_true all 5   10015.975997504951 
1 train anatomy model a_pred all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_pred'"   "<xarray.DataArray 'anatomy' ()> Size: 8B
array(nan)
Coordinates:
    frequency  int32 4B 90"
1 train anatomy model a_pred 1.0 all    
1 train anatomy model a_pred 2.0 all  0.0  
1 train anatomy model a_pred 3.0 all  0.0  
1 train anatomy model a_pred 4.0 all  0.0  
1 train anatomy model a_pred 5.0 all  0.0  
1 train anatomy model a_pred 6.0 all  0.0  
1 train anatomy model a_pred 7.0 all  0.0  
1 train anatomy model a_pred 8.0 all  0.0  
1 train anatomy model a_pred 9.0 all  0.0  
1 train anatomy model a_pred 10.0 all  0.0  
1 train anatomy model a_pred all 1   0.0 
1 train anatomy model a_pred all 2   0.0 
1 train anatomy model a_pred all 3   0.0 
1 train anatomy model a_pred all 4   0.0 
1 train anatomy model a_pred all 5   0.0 
1 train anatomy residual a_diff all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_diff'"   
1 train anatomy residual a_diff 1.0 all    
1 train anatomy residual a_diff 2.0 all  0.0  
1 train anatomy residual a_diff 3.0 all  0.0  
1 train anatomy residual a_diff 4.0 all  0.0  
1 train anatomy residual a_diff 5.0 all  0.0  
1 train anatomy residual a_diff 6.0 all  0.0  
1 train anatomy residual a_diff 7.0 all  0.0  
1 train anatomy residual a_diff 8.0 all  0.0  
1 train anatomy residual a_diff 9.0 all  0.0  
1 train anatomy residual a_diff 10.0 all  0.0  
1 train anatomy residual a_diff all 1   0.0 
1 train anatomy residual a_diff all 2   0.0 
1 train anatomy residual a_diff all 3   0.0 
1 train anatomy residual a_diff all 4   0.0 
1 train anatomy residual a_diff all 5   0.0 
1 train anatomy reference a_true all all "<xarray.DataArray 'anatomy' ()> Size: 8B
array(0.)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'a_true'"   
1 train anatomy reference a_true 1.0 all    
1 train anatomy reference a_true 2.0 all  0.0  
1 train anatomy reference a_true 3.0 all  0.0  
1 train anatomy reference a_true 4.0 all  0.0  
1 train anatomy reference a_true 5.0 all  0.0  
1 train anatomy reference a_true 6.0 all  0.0  
1 train anatomy reference a_true 7.0 all  0.0  
1 train anatomy reference a_true 8.0 all  0.0  
1 train anatomy reference a_true 9.0 all  0.0  
1 train anatomy reference a_true 10.0 all  0.0  
1 train anatomy reference a_true all 1   0.0 
1 train anatomy reference a_true all 2   0.0 
1 train anatomy reference a_true all 3   0.0 
1 train anatomy reference a_true all 4   0.0 
1 train anatomy reference a_true all 5   0.0 
1 train "wave field" model u_pred all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.00057997)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_pred'"   "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.6929828)
Coordinates:
    frequency  int32 4B 90"
1 train "wave field" model u_pred 1.0 all    
1 train "wave field" model u_pred 2.0 all  0.07667518173422881  
1 train "wave field" model u_pred 3.0 all  0.0011135457706340553  
1 train "wave field" model u_pred 4.0 all  0.007556534794161574  
1 train "wave field" model u_pred 5.0 all  9.152447711905274e-05  
1 train "wave field" model u_pred 6.0 all  0.0011140204863887082  
1 train "wave field" model u_pred 7.0 all  2.3692639175669396e-05  
1 train "wave field" model u_pred 8.0 all  0.00037446885079216814  
1 train "wave field" model u_pred 9.0 all  1.004417395671792e-05  
1 train "wave field" model u_pred 10.0 all  8.188569758363546e-06  
1 train "wave field" model u_pred all 1   0.003121383773780349 
1 train "wave field" model u_pred all 2   0.001976144366156974 
1 train "wave field" model u_pred all 3   0.001418933677034588 
1 train "wave field" model u_pred all 4   0.001770879195272372 
1 train "wave field" model u_pred all 5   0.0023196967714779254 
1 train "wave field" residual u_diff all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(0.00057861)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_diff'"   
1 train "wave field" residual u_diff 1.0 all    
1 train "wave field" residual u_diff 2.0 all  0.07717614074806879  
1 train "wave field" residual u_diff 3.0 all  0.0009069667631547606  
1 train "wave field" residual u_diff 4.0 all  0.007520525948123475  
1 train "wave field" residual u_diff 5.0 all  7.808239158732848e-05  
1 train "wave field" residual u_diff 6.0 all  0.001108123046503177  
1 train "wave field" residual u_diff 7.0 all  2.0421844546852133e-05  
1 train "wave field" residual u_diff 8.0 all  0.00037239574957637284  
1 train "wave field" residual u_diff 9.0 all  8.694592591722863e-06  
1 train "wave field" residual u_diff 10.0 all  7.069498078771024e-06  
1 train "wave field" residual u_diff all 1   0.003097588119246524 
1 train "wave field" residual u_diff all 2   0.0020592952599531086 
1 train "wave field" residual u_diff all 3   0.0013754261325176504 
1 train "wave field" residual u_diff all 4   0.0015429174076646405 
1 train "wave field" residual u_diff all 5   0.0021305365785540156 
1 train "wave field" reference u_true all all "<xarray.DataArray 'wave field' ()> Size: 8B
array(8.17413279e-06)
Coordinates:
    frequency  int32 4B 90
    variable   <U6 24B 'u_true'"   
1 train "wave field" reference u_true 1.0 all    
1 train "wave field" reference u_true 2.0 all  0.0018081447307282212  
1 train "wave field" reference u_true 3.0 all  3.0008013650165038e-05  
1 train "wave field" reference u_true 4.0 all  3.792388045034782e-06  
1 train "wave field" reference u_true 5.0 all  1.0333118454197226e-06  
1 train "wave field" reference u_true 6.0 all  5.050347507677982e-07  
1 train "wave field" reference u_true 7.0 all  2.2741668070694143e-07  
1 train "wave field" reference u_true 8.0 all  1.7024252778784642e-07  
1 train "wave field" reference u_true 9.0 all  9.158695211661493e-08  
1 train "wave field" reference u_true 10.0 all  7.510692448230837e-08  
1 train "wave field" reference u_true all 1   0.00032224968900347985 
1 train "wave field" reference u_true all 2   0.0001823475253163132 
1 train "wave field" reference u_true all 3   0.0004966109203225826 
1 train "wave field" reference u_true all 4   0.00044916638242921127 
1 train "wave field" reference u_true all 5   0.0002947008513400737 
1 train Laplacian model lu_pred all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(22985.40120766)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'lu_pred'"   "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(0.58143094)
Coordinates:
    frequency  int32 4B 90"
1 train Laplacian model lu_pred 1.0 all    
1 train Laplacian model lu_pred 2.0 all  1446838.090233996  
1 train Laplacian model lu_pred 3.0 all  15637.03508122633  
1 train Laplacian model lu_pred 4.0 all  509694.19049030845  
1 train Laplacian model lu_pred 5.0 all  4591.862363685923  
1 train Laplacian model lu_pred 6.0 all  122323.2336067531  
1 train Laplacian model lu_pred 7.0 all  1574.174709765321  
1 train Laplacian model lu_pred 8.0 all  18005.39517741509  
1 train Laplacian model lu_pred 9.0 all  670.8581445463877  
1 train Laplacian model lu_pred 10.0 all  306.1357927085937  
1 train Laplacian model lu_pred all 1   17.826007917746757 
1 train Laplacian model lu_pred all 2   18.899739132563404 
1 train Laplacian model lu_pred all 3   16.01362023864278 
1 train Laplacian model lu_pred all 4   20.41755247353538 
1 train Laplacian model lu_pred all 5   25.82304099724179 
1 train Laplacian residual lu_diff all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(99627.14891819)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'lu_diff'"   
1 train Laplacian residual lu_diff 1.0 all    
1 train Laplacian residual lu_diff 2.0 all  18120873.838529363  
1 train Laplacian residual lu_diff 3.0 all  380753.0426232689  
1 train Laplacian residual lu_diff 4.0 all  553175.3624811443  
1 train Laplacian residual lu_diff 5.0 all  17086.668519078874  
1 train Laplacian residual lu_diff 6.0 all  126876.2478822594  
1 train Laplacian residual lu_diff 7.0 all  4127.446044675802  
1 train Laplacian residual lu_diff 8.0 all  19931.753457826828  
1 train Laplacian residual lu_diff 9.0 all  1957.7768958968898  
1 train Laplacian residual lu_diff 10.0 all  1381.7167099276446  
1 train Laplacian residual lu_diff all 1   22.007599117302128 
1 train Laplacian residual lu_diff all 2   19.278830800532667 
1 train Laplacian residual lu_diff all 3   17.72982170178655 
1 train Laplacian residual lu_diff all 4   21.535487593677033 
1 train Laplacian residual lu_diff all 5   22.780646221147027 
1 train Laplacian reference Lu_true all all "<xarray.DataArray 'Laplacian' ()> Size: 8B
array(77227.78728441)
Coordinates:
    frequency  int32 4B 90
    variable   <U7 28B 'Lu_true'"   
1 train Laplacian reference Lu_true 1.0 all    
1 train Laplacian reference Lu_true 2.0 all  16764296.601907128  
1 train Laplacian reference Lu_true 3.0 all  384698.71037239535  
1 train Laplacian reference Lu_true 4.0 all  44354.63006636809  
1 train Laplacian reference Lu_true 5.0 all  12922.812095501875  
1 train Laplacian reference Lu_true 6.0 all  4627.898005228037  
1 train Laplacian reference Lu_true 7.0 all  2607.952916773148  
1 train Laplacian reference Lu_true 8.0 all  1919.1599351332718  
1 train Laplacian reference Lu_true 9.0 all  1346.1640571232067  
1 train Laplacian reference Lu_true 10.0 all  1132.5993493290525  
1 train Laplacian reference Lu_true all 1   12.51688793914196 
